FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY
5244,2113206,E1134,P,2546468,6679046,2546466,6679073,Kalkkipellonmäki,Kalkåkersbacken,Turuntie,Åbovägen,1,1,1,01
5245,2113207,E1135,P,2545874,6679395,2545853,6679399,Postipuun koulu,Positpuu School,Ruutikuja,Krutgränden,0,0,1,04
5246,2113208,E1136,P,2545872,6679417,2545863,6679434,Postipuun koulu,Postipuu School,Ruutikuja,Krutgränden,1,1,1,04
5247,2113209,E1137,P,2545765,6679145,2545749,6679166,Postipuunkuja,Postträdsgränden,Postipuuntie,Postträdsvägen,0,0,1,04
5248,2113210,E1138,P,2545745,6679177,2545757,6679166,Postipuunkuja,Postträdsgränden,Postipuuntie,Postträdsvägen,1,1,1,04
5249,2113211,E1969,P,2545968,6679714,2545949,6679715,Mäkkyläntie,Mäkkylävägen,Mäkkylän puistotie,Mäkkyläallen,1,1,1,04
5250,2113212,E1139,P,2545493,6679209,2545516,6679221,Postipuu,Postträdet,Armas Launiksen katu,Armas Launis gata,0,0,1,04
5251,2113213,E1970,P,2545930,6679715,2545948,6679714,Mäkkyläntie,Mäkkylävägen,Mäkkylän puistotie,Mäkkyläallen,1,1,1,04
5252,2113214,E1140,P,2545574,6679305,2545575,6679305,Postipuunmäki,Postträdsbacken,Armas Launiksen Katu,Armas Launis gata,1,1,1,04
5253,2113215,E1142,P,2546390,6679869,2546389,6679869,Kenttäpäällikönpuist,Fältchefsparken,Kenttämiehentie,Fältmannavägen,1,1,1,04
5254,2113219,E1141,P,2546337,6679164,2546346,6679179,Ruutikellarintie,Krutkällarvägen,Mäkkylän puistotie,Mäkkyläallén,0,0,1,04
5255,2113237,E1143,P,2546738,6679592,2546732,6679608,Sotarovastintie,Fältprostvägen,Sotarovastintie,Fältprostvägen,0,0,1,04
5256,2113238,E1144,P,2546488,6679611,2546499,6679621,Sotatuomari,Auditören,Sotarovastintie,Fältprostvägen,1,1,1,04
5257,2113239,E1145,P,2546449,6679707,2546443,6679693,Sotatuomari,Auditören,Mäkkyläntie,Mäkkylävägen,1,1,1,04
5258,2113240,E1146,P,2546068,6679665,2546063,6679678,Sotaneuvoksentie,Krigsrådsvägen,Mäkkyläntie,Mäkkylävägen,1,1,1,04
5259,2113241,E1147,P,2546109,6679714,2546116,6679699,Sotaneuvoksentie,Krigsrådsvägen,Mäkkyläntie,Mäkkylävägen,1,1,1,04
