FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY
2222,1294552,H0082,P,2549131,6680198,2549128,6680199,Pohjois-Haaga,Norra Haga,Kuparitie 3,Kopparvägen 3,1,1,4,99
2223,1301100,H1457,P,2549299,6676482,2549285,6676475,Munkkiniemen aukio,Munksnäsplatsen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2224,1301101,H1468,P,2548272,6676526,2548285,6676540,Nuottapolku,Notstigen,Munkkiniemenranta,Munksnässtrand,1,1,1,04
2225,1301102,H1459,P,2549252,6676657,2549245,6676656,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2226,1301103,H1402,P,2548794,6676577,2548798,6676587,Laajalahden aukio,Bredviksplatsen,Munkkin. puistotie,Munksnäs allén,1,1,1,01
2227,1301104,H1475,P,2548079,6676834,2548079,6676834,Apajapolku,Varpstigen,Ritokalliontie,Ritobergsvägen,0,0,1,08
2228,1301105,H1483,P,2548676,6676426,2548663,6676434,Tiilimäki,Tegelbacken,Laajalahdentie,Bredviksvägen,1,1,1,08
2229,1301106,H1471,P,2548331,6676691,2548324,6676679,Nuottapolku,Notstigen,Tiilimäki 27,Tegelbacken 27,1,1,1,04
2230,1301107,H1473,P,2548135,6676803,2548128,6676789,Ritolehto,Ritolunden,Ritokalliontie 1,Ritobergsvägen 1,1,1,1,04
2231,1301108,H1472,P,2548090,6676751,2548097,6676763,Ritolehto,Ritolunden,Tiilimäki,Tegelbacken,1,1,1,04
2232,1301109,H1479,P,2547814,6677024,2547799,6677014,Munkkin. uimaranta,Munksnäs badstrand,Ritokalliontie,Ritobergsvägen,0,0,1,04
2233,1301110,H1478,P,2547793,6676998,2547805,6677005,Munkkin. uimaranta,Munksnäs badstrand,Ritokalliontie,Ritobergsvägen,0,0,1,04
2234,1301111,H1481,P,2547213,6677328,2547216,6677315,Tarvo,Tarvo,Ritokalliontie,Ritobergsvägen,0,0,1,04
2235,1301112,H1458,P,2549185,6676895,2549160,6676888,Rakuunantie,Dragonvägen,Huopalahdentie,Hoplaksvägen,1,1,1,08
2236,1301113,H1456,P,2549227,6676864,2549245,6676866,Rakuunantie,Dragonvägen,Rakuunantie 16,Dragonvägen 16,1,1,1,08
2237,1301116, ,P,2548730,6676610,2548753,6676596,Laajalahden aukio,Bredviksplatsen,Laajalahdentie 18,Bredviksvägen 18,0,0,1,99
2238,1301117,H1460,P,2549208,6676738,2549221,6676742,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2239,1301118,H1442,P,2549071,6676456,2549079,6676479,Kadetintie,Kadettvägen,Munkkiniemen puistot,Munksnäs allén,1,1,1,99
2240,1301119,H1443,P,2549099,6676526,2549074,6676515,Kadetintie,Kadettvägen,Munkkiniemen puistot,Munksnäs allén,1,1,1,99
2241,1301120,H1444,P,2548956,6676508,2548962,6676524,Solnantie,Solnavägen,Munkkiniemen puistot,Munksnäs allén,1,1,1,08
2242,1301121,H1445,P,2548977,6676571,2548970,6676555,Solnantie,Solnavägen,Munkkiniemen puistot,Munksnäs allén,1,1,1,08
2243,1301122,H1388,P,2549333,6676380,2549340,6676394,Munkkiniemen aukio,Munksnäsplatsen,Paciuksenkatu,Paciusgatan,1,1,1,01
2244,1301123,H1391,P,2549257,6676530,2549239,6676526,Munkkiniemen aukio,Munksnäsplatsen,Huopalahdentie,Hoplaksvägen,1,1,1,01
2245,1301124,H1390,P,2549282,6676398,2549289,6676414,Munkkiniemen aukio,Munksnäsplatsen,Paciuksenkatu,Paciusgatan,1,1,1,01
2246,1301125,H1393,P,2549169,6676825,2549156,6676821,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,1,1,1,01
2247,1301126,H1392,P,2549176,6676721,2549185,6676723,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,1,1,1,01
2248,1301127,H1446,P,2548779,6676713,2548796,6676703,Perustie,Grundvägen,Laajalahdentie,Bredviksvägen,1,1,1,08
2249,1301128,H1447,P,2548841,6676763,2548827,6676764,Perustie,Grundvägen,Laajalahdentie,Bredviksvägen,1,1,1,08
2250,1301129,H1448,P,2548605,6677025,2548615,6677024,Dosentintie,Docentvägen,Professorintie,Professorvägen,1,1,1,08
2251,1301130,H1461,P,2548944,6676028,2548930,6676007,Ramsaynranta,Ramsays strand,Saunalahdentie,Bastuviksvägen,1,1,1,99
2252,1301131,H1462,P,2548791,6676080,2548804,6676099,Kalastajatorpantie,Fiskartorpsvägen,Saunalahdentie,Bastuviksvägen,1,1,1,99
2253,1301132,H1463,P,2548906,6676031,2548836,6676074,Kalastajatorpantie,Fiskartorpsvägen,Saunalahdentie,Bastuviksvägen,1,1,1,99
2254,1301133,H1465,P,2548781,6676138,2548769,6676122,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Bastuviksvägen,1,1,1,99
2255,1301134,H0126,P,2548645,6676296,2548629,6676294,Tiilimäki,Tegelbacken,Hollantilaisentie,Holländarvägen,0,0,1,99
2256,1301135,H1467,P,2548516,6676503,2548514,6676501,Tiilipolku,Tegelstigen,Tiilimäki,Tegelbacken,1,1,1,08
2257,1301136,H1469,P,2548443,6676595,2548445,6676599,Munkkirinne,Munkbrinken,Tiilimäki,Tegelbacken,1,1,1,08
2258,1301137,H1477,P,2548036,6676915,2548023,6676904,Ritokalliontie,Ritobergsvägen,Ritokalliontie 11,Ritobergsvägen 11,0,0,1,08
2259,1301138,H1480,P,2547439,6677169,2547460,6677172,Ritokalliontie,Ritobergsvägen,Ritokallionpolku,Ritobergsstigen,0,0,1,99
2260,1301139,H1476,P,2547973,6676913,2547975,6676933,Ritokalliontie,Ritobergsvägen,Ritokalliontie 11,Ritobergsvägen 11,0,0,1,08
2261,1301140,H1474,P,2548047,6676838,2548065,6676852,Apajapolku,Varpstigen,Ritokalliontie,Ritobergsvägen,0,0,1,08
2262,1301141,H1470,P,2548141,6676625,2548154,6676644,Tuulaspolku,Ljusterstigen,Munkkiniemenranta,Munksnässtrand,1,1,1,08
2263,1301142,H1466,P,2548447,6676257,2548469,6676269,Laajalahdentie,Bredviksvägen,Munkkiniemenranta,Munksnässtrand,1,1,1,08
2264,1301143,H0127,P,2548566,6676188,2548571,6676207,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Bastuviksvägen,1,1,1,04
2265,1301144,H1405,P,2548676,6677032,2548665,6677020,Dosentintie,Docentvägen,Professorintie,Professorvägen,1,1,1,04
2266,1301145,H1404,P,2548695,6676962,2548710,6676977,Professorintie,Professorvägen,Professorintie 6,Professorvägen 6,1,1,1,01
2267,1301146,H1403,P,2548759,6676942,2548752,6676935,Professorintie,Professorvägen,Professorintie 1,Professorvägen 1,1,1,1,01
2268,1301147,H1401,P,2548809,6676635,2548803,6676623,Laajalahden aukio,Bredviksplatsen,Munkkin. puistotie,Munksnäs allén,1,1,1,01
2269,1301148,H1399,P,2549138,6676497,2549136,6676490,Munkkin. puistotie,Munksnäs allén,Munkkin. puistotie 5,Munksnäs allén 5,1,1,1,04
2270,1301149,H1389,P,2549287,6676351,2549288,6676351,Munkkiniemen aukio,Munksnäsplatsen,Ramsaynranta,Ramsays strand,1,1,1,01
2271,1301150,H1464,P,2548672,6676152,2548672,6676152,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Bastuviksvägen,1,1,1,99
2272,1301151,H1401,P,2548830,6676627,2548825,6676614,Laajalahden aukio,Bredviksplatsen,Munkkin. puistotie,Munksnäs allén,1,1,1,99
2273,1301152, ,P,2549255,6676367,2549239,6676355,Munkkiniemen aukio,Munksnäsplatsen,Ramsaynranta,Ramsays Strand,0,0,0,99
2274,1301153,H0125,P,2548602,6676373,2548623,6676362,Tiilimäki,Tegelbacken,Laajalahdentie,Bredviksvägen,1,1,1,99
2275,1301154,H1472,P,2548123,6676724,2548136,6676722,Tiilimäki,Tegelbacken,Tuulaspolku,Ljusterstigen,1,1,1,99
2276,1301156,H1502,P,2548629,6676419,2548649,6676408,Tiilimäki,Tegelbacken,Laajalahdentie,Bredviksvägen,0,0,1,99
2277,1301158,H1394,P,2549078,6677029,2549096,6677033,Niemenmäki,Näshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01
2278,1301160,H1376,P,2549281,6676653,2549294,6676656,Rakuunantie 8,Dragonvägen 8,Rakuunantie,Dragonvägen,1,1,1,08
2279,1301171,H1400,P,2549182,6676428,2549181,6676442,Munkkin. puistotie,Munksnäs allén,Munkkin. puistotie 4,Munksnäs allén 4,1,1,1,01
2280,1301201,H1375,P,2548592,6676318,2548590,6676321,Tiilimäki,Tegelbacken,Laajalahdentie,Bredviksvägen,0,0,1,04
2281,1301212,H1407,P,2549245,6676349,2549248,6676352,Munkkiniemen aukio,Munksnäsplatsen,Ramsaynranta,Ramsays strand,1,1,1,01
2282,1301213,H1406,P,2549305,6676363,2549290,6676367,Munkkiniemen aukio,Munksnäsplatsen,Ramsayn ranta,Ramsays strand,1,1,1,01
2283,1301214,H1409,P,2548879,6675963,2548895,6675950,Gert Skytten puisto,Gert Skyttes park,Pikkuniementie,Lillnäsvägen,1,1,1,01
2284,1301215,H1408,P,2549005,6675960,2549008,6675978,Gert Skytten puisto,Gert Skyttes park,Ramsaynranta,Ramsays strand,1,1,1,04
2285,1301222,H1388,P,2549337,6676379,2549342,6676394,Munkkiniemen aukio,Munksnäsplatsen,Paciuksenkatu,Paciusgatan,0,0,1,99
2286,1301223,H1391,P,2549262,6676520,2549242,6676517,Munkkiniemen aukio,Munksnäsplatsen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2287,1301224,H1390,P,2549282,6676399,2549289,6676416,Munkkiniemen aukio,Munksnäsplatsen,Paciuksenkatu,Paciusgatan,0,0,1,99
2288,1301225,H1393,P,2549173,6676811,2549163,6676808,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2289,1301226,H1392,P,2549176,6676718,2549186,6676719,Lokkalantie,Locklaisvägen,Huopalahdentie,Hoplaksvägen,0,0,1,99
2290,1301249,H1389,P,2549274,6676372,2549293,6676365,Munkkiniemen aukio,Munksnäsplatsen,Ramsaynranta,Ramsays strand,0,0,1,99
2291,1301258,H1394,P,2549078,6677039,2549095,6677043,Niemenmäki,Näshöjden,Huopalahdentie,Hoplaksvägen,0,0,1,99
2292,1301299,H1500,P,2549262,6676364,2549245,6676357,Munkkiniemen aukio,Munksnäsplatsen,Ramsaynranta,Ramsays strand,1,1,1,01
2293,1301450,H0121,P,2549157,6676478,2549153,6676464,Munkkin. puistotie,Munksnäs allén,Munkkin. puistotie 7,Munksnäs allén 7,1,1,3,04
2294,1301451,H0122,P,2549163,6676450,2549167,6676458,Munkkin. puistotie,Munksnäs allén,Munkkin.puistotie 10,Munksnäs allén 10,1,1,3,01
2295,1301452,H0123,P,2548836,6676600,2548832,6676589,Laajalahden aukio,Bredviksplatsen,Munkkin. puistotie,Munksnäs allén,1,1,3,04
2296,1301453,H0124,P,2548845,6676580,2548847,6676587,Laajalahden aukio,Bredviksplatsen,Munkkin. puistotie,Munksnäs allén,1,1,3,01
2297,1301454,H0125,P,2548606,6676374,2548624,6676364,Tiilimäki,Tegelbacken,Laajalahdentie 4,Bredviksvägen 4,1,1,3,04
2298,1301455,H0126,P,2548633,6676295,2548628,6676295,Tiilimäki,Tegelbacken,Hollantilaisentie,Holländarvägen,1,1,3,01
2299,1301456,H0127,P,2548580,6676190,2548583,6676203,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Bastuviksvägen,1,1,3,04
2300,1301900,XH1201,P,2548817,6676965,2548814,6676965,Mniemen terveysasema,Munksnäs hälsost.,Laajalahdentie 30,Bredviksvägen 30,0,0,0,99
2301,1301901,XH1203,P,2548776,6677062,2548776,6677069,Munkkiniemi ala-aste,Munksnäs lågstadium,Tietokuja 1,Datagränden 1,0,0,0,99
2302,1301902,XH1205,P,2548836,6676845,2548825,6676845,M-niemen yhteiskoulu,Munksnäs samskola,Laajalahdentie 21,Bredviksvägen 21,0,0,0,99
2303,1301903,XH1209,P,2549058,6676773,2549059,6676773,Mnäs sv. lågstadium,Mnäs sv. lågstadium,Lokkalantie 9,Locklaisvägen 9,0,0,0,99
2304,1301904,XH1210,P,2548872,6676393,2548876,6676392,Munkkiniemen yläaste,Munksnäs högstadium,Solnantie 18-20,Solnavägen 18-20,0,0,0,99
2305,1301905,XH1218,P,2548647,6676537,2548651,6676535,Munkkiniemen kirkko,Munksnäs kyrka,Tiilipolku 6,Tegelstigen 6,0,0,0,99
2306,1302116, ,P,2548332,6675383,2548359,6675365,Kuusiniementie,Granuddsvägen,Kuusisaarentie,Granövägen,0,0,0,99
2307,1302117, ,P,2548419,6675341,2548399,6675376,Kuusiniementie,Granuddsvägen,Kuusisaarentie,Granövägen,0,0,0,99
2308,1302118, ,P,2547775,6675128,2547807,6675113,Kuusisaarenkuja,Granögränd,Kuusisaarentie,Granövägen,0,0,0,99
2309,1302119, ,P,2547757,6675038,2547753,6675081,Kuusisaarenkuja,Granögränd,Kuusisaarentie,Granövägen,0,0,0,99
2310,1302216,H1411,P,2548337,6675377,2548343,6675359,Kuusiniementie,Granuddsvägen,Kuusisaarentie,Granövägen,1,1,1,04
2311,1302217,H1410,P,2548444,6675370,2548438,6675388,Kuusiniementie,Granuddsvägen,Kuusisaarentie,Granövägen,1,1,1,01
2312,1302218,H1413,P,2547741,6675092,2547750,6675079,Kuusisaarenkuja,Granögränd,Kuusisaarentie,Granövägen,1,1,1,04
2313,1302219,H1412,P,2547864,6675113,2547860,6675127,Kuusisaarenkuja,Granögränd,Kuusisaarentie,Granövägen,1,1,1,01
2314,1302900,XH1211,P,2547680,6675162,2547684,6675142,Didrichsen tk-museo,Didrichsen kt-museet,Kuusilahdenkuja 1,Granviksgränden 1,0,0,0,99
2315,1302901,XH1217,P,2547516,6675009,2547509,6675015,V.Gyllenberg taidem.,V.Gyllenberg konstm.,Kuusisaarenpolku 11,Granöstigen 11,0,0,0,99
2316,1303100,H1488,P,2547373,6674616,2547373,6674621,Lehtisaarentie,Lövövägen,Lehdesniityntie,Lövängsvägen,1,1,1,08
2317,1303102,H1489,P,2547310,6674615,2547317,6674606,Lehtisaarentie,Lövövägen,Lehdesniityntie,Lövängsvägen,1,1,1,08
2318,1303103,H1495,P,2547512,6674262,2547537,6674262,Kalkkipaadenpuisto,Kalkstensparken,Lehtisaarentie,Lövövägen,1,1,1,08
2319,1303104,H1496,P,2547562,6674254,2547538,6674252,Kalkkipaadenpuisto,Kalkstensparken,Lehtisaarentie,Lövövägen,1,1,1,04
2320,1303105,H1493,P,2547487,6674418,2547502,6674411,Hiidenkiukaantie,Jätterösvägen,Lehtisaarentie,Lövövägen,1,1,1,08
2321,1303106,H1494,P,2547627,6674472,2547605,6674487,Hiidenkiukaantie,Jätterösvägen,Lehtisaarentie,Lövövägen,1,1,1,08
2322,1303107,H1497,P,2547455,6674553,2547468,6674542,Hiidenkiukaantie,Jätterösvägen,Hiidenkiukaantie 3,Jätterösvägen 3,1,1,1,04
2323,1303108,H1498,P,2547403,6674499,2547426,6674484,Hiidenkiukaantie,Jätterösvägen,Hiidenkiukaantie 6,Jätterösvägen 6,1,1,1,04
2324,1303109,H1491,P,2547591,6674617,2547591,6674641,Pyhän Laurin tie,Sankt Lars väg,Lehtisaarentie,Lövövägen,1,1,1,08
2325,1303110,H1492,P,2547600,6674660,2547603,6674655,Pyhän Laurin tie,Sankt Lars väg,Lehtisaarentie,Lövövägen,1,1,1,04
2326,1303111,H1490,P,2547177,6674607,2547181,6674626,Lehdesniityntie,Lövängsvägen,Lehdesniityntie,Lövängsvägen,1,1,1,04
2327,1303112,H1486,P,2547402,6674650,2547388,6674647,Papinpöydänkuja,Prästbordsgränden,Lehtisaarentie,Lövövägen,1,1,1,04
2328,1303113,H1487,P,2547368,6674648,2547388,6674651,Papinpöydänkuja,Prästbordsgränden,Lehtisaarentie,Lövövägen,1,1,1,04
2329,1303114,H1414,P,2547330,6674728,2547323,6674748,Lehtisaarentie,Lövövägen,Kuusisaarentie,Granövägen,1,1,1,01
2330,1303192,H1499,P,2547901,6673823,2547921,6673836,Kaskisaari,Svedjeholmen,Kaskisaarentie,Svedjeholmsvägen,1,1,1,04
2331,1303298,H1415,P,2547304,6674760,2547308,6674744,Lehtisaarentie,Lövövägen,Kuusisaarentie,Granövägen,1,1,1,01
2332,1303299, ,P,2547441,6674750,2547433,6674776,Lehtisaarentie,Lövövägen,Kuusisaarentie,Granövägen,0,0,1,99
2333,1304100,H1449,P,2548585,6677254,2548587,6677241,Professorintie,Professorvägen,Ulvilantie,Ulfsbyvägen,0,0,1,99
2334,1304101,H1450,P,2548574,6677221,2548571,6677239,Professorintie,Professorvägen,Ulvilantie,Ulfsbyvägen,0,0,1,99
2335,1304102,H1434,P,2548880,6677266,2548874,6677290,Raumantie,Raumovägen,Ulvilantie,Ulfsbyvägen,0,0,1,04
2336,1304103,H1485,P,2548863,6677429,2548865,6677427,Munkkivuoren ostosk.,Munkshöjdens köpc.,Raumantie,Raumovägen,1,1,1,01
2337,1304104,H1484,P,2548931,6677377,2548935,6677376,Munkkivuoren ostosk.,Munkshöjdens köpc.,Raumantie,Raumovägen,1,1,1,01
2338,1304105,H1377,P,2548750,6677470,2548756,6677470,Munkkivuoren kirkko,Munkshöjdens kyrka,Naantalintie,Nådendalsvägen,1,1,1,04
2339,1304126, ,P,2548963,6677408,2548965,6677385,Ulvilantie 1,Ulfsbyvägen 1,Ulvilantie 1,Ulfsbyvägen 1,0,0,1,99
2340,1304127,H1395,P,2549080,6677142,2549069,6677140,Niemenmäki,Näshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01
2341,1304128,H,P,2548769,6677271,2548768,6677271,Raumantie,Raumovägen,Ulvilantie 3,Ulfsbyvägen 3,0,0,1,01
2342,1304129,H1419,P,2548631,6677269,2548635,6677249,Ulvilantie 11,Ulfsbyvägen 11,Ulvilantie 11,Ulfsbyvägen 11,1,1,1,01
2343,1304130,H1421,P,2548337,6677275,2548334,6677265,Porintie,Björneborgsvägen,Ulvilantie 15,Ulfsbyvägen 15,1,1,1,01
2344,1304131,H1423,P,2548086,6677444,2548072,6677441,Ulvilantie 17,Ulfsbyvägen 17,Ulvilantie 17,Ulfsbyvägen 17,1,1,1,01
2345,1304132,H1425,P,2548100,6677638,2548093,6677638,Ulvilantie 19,Ulfsbyvägen 19,Ulvilantie 19,Ulfsbyvägen 19,1,1,1,01
2346,1304133,H1427,P,2548244,6677816,2548238,6677828,Ulvilantie 21,Ulfsbyvägen 21,Ulvilantie 21,Ulfsbyvägen 21,1,1,1,01
2347,1304134,H1429,P,2548672,6677815,2548681,6677830,Ulvilantie 27,Ulfsbyvägen 27,Ulvilantie 27,Ulfsbyvägen 27,1,1,1,01
2348,1304135,H1431,P,2548847,6677636,2548861,6677647,Naantalintie,Nådendalsvägen,Ulvilantie 29,Ulfsbyvägen 29,1,1,1,01
2349,1304136,H1397,P,2549005,6677458,2548992,6677455,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01
2350,1304137,H1396,P,2548967,6677513,2548978,6677508,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,1,1,1,01
2351,1304138,H1433,P,2547722,6677642,2547723,6677634,Muusantori,Musans torg,Taiteentekijäntie 7,Konstnärsvägen 7,1,1,1,01
2352,1304140,H1430,P,2548902,6677592,2548894,6677588,Naantalintie,Nådendalsvägen,Ulvilantie,Ulfsbyvägen,1,1,1,01
2353,1304141,H1428,P,2548730,6677814,2548724,6677805,Ulvilantie 27,Ulfsbyvägen 27,Ulvilantie 27,Ulfsbyvägen 27,1,1,1,04
2354,1304142,H1426,P,2548264,6677862,2548272,6677845,Ulvilantie 21,Ulfsbyvägen 21,Ulvilantie 21,Ulfsbyvägen 21,1,1,1,04
2355,1304143,H1424,P,2548083,6677683,2548094,6677682,Ulvilantie 19,Ulfsbyvägen 19,Ulvilantie 19,Ulfsbyvägen 19,1,1,1,04
2356,1304144,H1420,P,2548403,6677215,2548408,6677238,Porintie,Björneborgsvägen,Ulvilantie,Ulfsbyvägen,1,1,1,04
2357,1304150,H1435,P,2548976,6677587,2548961,6677585,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,0,0,1,04
2358,1304157,H1422,P,2548061,6677451,2548085,6677408,Ulvilantie 17,Ulfsbyvägen 17,Ulvilantie 17,Ulfsbyvägen 17,1,1,1,04
2359,1304159,H1418,P,2548652,6677238,2548632,6677248,Ulvilantie 11,Ulfsbyvägen 11,Ulvilantie 11,Ulfsbyvägen 11,1,1,1,04
2360,1304160,H1416,P,2548928,6677436,2548915,6677431,Munkkivuori,Munkshöjden,Raumantie,Raumovägen,1,1,1,04
2361,1304161,H1432,P,2548824,6677422,2548823,6677426,Munkkivuoren ostosk.,Munkshöjdens köpc.,Raumantie,Raumovägen,1,1,1,01
2362,1304162,H1482,P,2548797,6677452,2548797,6677439,Munkkivuoren ostosk.,Munkshöjdens köpc.,Raumantie,Raumovägen,0,0,1,04
2363,1304201,H1347,P,2548830,6677533,2548830,6677528,Munkkivuoren ostosk.,Munkshöjdens köpc.,Naantalintie,Nådendalsvägen,0,0,1,99
2364,1304227,H1395,P,2549076,6677159,2549066,6677157,Niemenmäki,Näshöjden,Huopalahdentie,Hoplaksvägen,0,0,1,99
2365,1304237,H1396,P,2548969,6677476,2548988,6677480,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,0,0,1,99
2366,1304900,XH1204,P,2548466,6677574,2548476,6677581,Ransk-suom koulu,Fransk-finska skola,Raumantie 4,Raumovägen 4,0,0,0,99
2367,1304901,XH1207,P,2548752,6677466,2548756,6677466,Munkkivuoren kirkko,Munkshöjdens kyrka,Raumantie 3,Raumovägen 3,0,0,0,99
2368,1305100,H1451,P,2549174,6677446,2549136,6677502,Luuvaniementie,Lognäsvägen,Niemenmäentie,Näshöjdsvägen,1,1,1,08
2369,1305101,H1452,P,2549173,6677435,2549136,6677502,Luuvaniementie,Lognäsvägen,Niemenmäentie,Näshöjdsvägen,1,1,1,08
2370,1305102,H1453,P,2549236,6677295,2549256,6677266,Niemenmäenkuja,Näshöjdsgränden,Niemenmäentie,Näshöjdsvägen,1,1,1,08
2371,1305103,H1455,P,2549176,6677246,2549168,6677261,Niemenmäentie,Näshöjdsvägen,Luuvaniementie,Lognäsvägen,1,1,1,08
2372,1305151,H1398,P,2549020,6677550,2549016,6677567,Munkkivuori,Munkshöjden,Lapinmäentie,Labbackavägen,1,1,1,01
2373,1305191,H1454,P,2549230,6677179,2549230,6677167,Niemenmäki,Näshöjden,Luuvaniementie,Lognäsvägen,1,1,1,04
2374,1305236,H1397,P,2548996,6677493,2548985,6677491,Munkkivuori,Munkshöjden,Huopalahdentie,Hoplaksvägen,0,0,1,99
2375,1310100,H1068,P,2548930,6671221,2548955,6671227,Nahkahousuntie,Skinnbyxvägen,Särkiniementie,Mörtnäsvägen,0,0,1,99
2376,1310101,H1019,P,2549629,6672513,2549632,6672504,Lauttasaaren silta,Drumsö bro,Lauttasaarentie,Drumsövägen,1,1,1,01
2377,1310102,H1018,P,2549663,6672489,2549657,6672510,Lauttasaaren silta,Drumsö bro,Lauttasaarentie 6,Drumsövägen 6,1,1,1,01
2378,1310103,H1021,P,2549222,6672450,2549223,6672426,Koillisväylä,Nordostpassagen,Lauttasaarentie,Drumsövägen,0,0,1,04
2379,1310104,H1020,P,2549413,6672444,2549410,6672462,Koillisväylä,Nordostpassagen,Lauttasaarentie 18,Drumsövägen 18,0,0,1,99
2380,1310105,H1025,P,2549015,6672434,2549012,6672420,Lauttasaarentie (M),Drumsövägen (M),Lauttasaarentie 33,Drumsövägen 33,1,1,1,01
2381,1310106,H1024,P,2549114,6672398,2549110,6672407,Lauttasaarentie (M),Drumsövägen (M),Lauttasaarentie 28,Drumsövägen 28,1,1,1,01
2382,1310107,H1027,P,2548856,6672227,2548873,6672224,Gyldénintie (M),Gyldénsvägen (M),Gyldénintie 2,Gyldénsvägen 2,1,1,1,04
2383,1310108,H1026,P,2548887,6672281,2548884,6672281,Gyldénintie,Gyldénsvägen,Gyldenintie 1,Gyldensvägen 1,1,1,1,04
2384,1310109,H1029,P,2548613,6672160,2548620,6672147,Lauttasaaren kirkko,Drumsö kyrka,Isokaari,Storsvängen,1,1,1,01
2385,1310110,H1028,P,2548596,6672129,2548592,6672128,Lauttasaaren kirkko,Drumsö kyrka,Isokaari,Storsvängen,1,1,1,01
2386,1310111,H1031,P,2548373,6672009,2548377,6671994,Kuikkarinne,Doppingbrinken,Isokaari 9,Storsvängen 9,1,1,1,04
2387,1310112,H1030,P,2548423,6671995,2548415,6672010,Kuikkarinne,Doppingbrinken,Isokaari 12,Storsvängen 12,1,1,1,01
2388,1310113,H1033,P,2548187,6672011,2548183,6672002,Takaniementie,Taxnäsvägen,Isokaari 15,Storsvängen 15,1,1,1,04
2389,1310114,H1032,P,2548234,6671964,2548238,6671986,Takaniementie,Taxnäsvägen,Isokaari 22,Storsvängen 22,1,1,1,01
2390,1310115,H1035,P,2547983,6672277,2547977,6672276,Viklakuja,Snäppgränd,Isokaari 25,Storsvängen 25,1,1,1,04
2391,1310116,H1034,P,2548012,6672154,2548023,6672162,Viklakuja,Snäppgränd,Isokaari,Storsvängen,1,1,1,01
2392,1310117,H1037,P,2547925,6672582,2547913,6672579,Vaskiniementie,Kopparuddsvägen,Isokaari 33,Storsvängen 33,1,1,1,04
2393,1310118,H1036,P,2547897,6672548,2547918,6672553,Vaskiniementie,Kopparuddsvägen,Isokaari 42,Storsvängen 42,1,1,1,01
2394,1310119,H1039,P,2547839,6672925,2547823,6672986,Koivusaarentie,Björkholmsvägen,Katajaharjuntie 11,Enåsvägen 11,1,1,1,04
2395,1310120,H1038,P,2547821,6672892,2547841,6672896,Koivusaarentie,Björkholmsvägen,Katajaharjuntie 8,Enåsvägen 8,1,1,1,01
2396,1310121,H1040,P,2547763,6673263,2547777,6673259,Katajaharju,Enåsen,Katajaharjuntie,Enåsvägen,1,1,1,01
2397,1310122, ,P,2549357,6671409,2549375,6671414,Nahkahousuntie,Skinnbyxvägen,Vattuniemenkatu 12,Hallonnäsgatan 12,0,0,1,99
2398,1310123,H1061,P,2548831,6672444,2548835,6672459,Lahnalahden puisto,Braxviksparken,Lauttasaarentie,Drumsövägen,0,0,1,99
2399,1310124,H1065,P,2548469,6672536,2548467,6672530,Lahnalahdentie,Braxviksvägen,Lauttasaarentie,Drumsövägen,1,1,1,01
2400,1310125,H1071,P,2548975,6671247,2548947,6671263,Nahkahousuntie,Skinnbyxvägen,Särkiniementie,Mörtnäsvägen,0,0,1,99
2401,1310126,H1060,P,2548754,6672441,2548772,6672438,Lahnalahden puisto,Braxviksparken,Särkiniementie,Mörtnäsvägen,0,0,1,01
2402,1310127,H1058,P,2548692,6672093,2548710,6672090,Hevosenkenkäpuisto,Hästskoparken,Särkiniementie,Mörtnäsvägen,1,1,1,01
2403,1310128,H1059,P,2548716,6672055,2548706,6672058,Hevosenkenkäpuisto,Hästskoparken,Särkiniementie,Mörtnäsvägen,1,1,1,01
2404,1310129,H1056,P,2548899,6671655,2548898,6671657,Särkiniementie,Mörtnäsvägen,Wavulinintie,Wavulinsvägen,1,1,1,04
2405,1310130,H1057,P,2548859,6671684,2548848,6671681,Särkiniementie,Mörtnäsvägen,Särkiniementie 23,Mörtnäsvägen 23,1,1,1,01
