price,area,rooms,balcony,sauna,category,neighborhood,city,postcode,deal_type
1191.0,76.0,3.0,False,False,kerrostalo,suvela,espoo,40250,rent
1289.0,60.0,2.0,False,False,kerrostalo,hakaniemi,helsinki,00530,rent
798.0,43.0,2.0,True,False,kerrostalo,itäkeskus,helsinki,00930,rent
960.0,32.0,1.0,False,False,kerrostalo,alppila,helsinki,00510,rent
1468.0,67.0,2.0,False,False,kerrostalo,alppila,helsinki,00510,rent
1600.0,74.0,3.0,True,False,kerrostalo,matinkylä,espoo,02230,rent
750.0,21.5,1.0,False,False,kerrostalo,kallio,helsinki,00500,rent
875.0,52.0,2.0,True,False,kerrostalo,asola,vantaa,01400,rent
850.0,54.0,2.0,True,False,kerrostalo,vermo,espoo,00360,rent
661.0,27.0,1.0,False,False,kerrostalo,viertola,vantaa,68580,rent
912.0,49.5,2.0,False,False,kerrostalo,suvela,espoo,40250,rent
990.0,34.5,1.0,True,False,kerrostalo,kamppi,helsinki,00180,rent
1284.0,74.5,3.0,False,False,kerrostalo,itäkeskus,helsinki,00930,rent
800.0,26.5,1.0,True,False,kerrostalo,niittykumpu,espoo,02200,rent
1435.0,79.5,3.0,False,True,kerrostalo,olari,espoo,02200,rent
750.0,25.0,1.0,False,False,kerrostalo,kamppi,helsinki,00100,rent
1985.0,97.5,4.0,True,False,kerrostalo,kulosaari,helsinki,00570,rent
895.0,28.0,1.0,False,False,kerrostalo,taka-töölö,helsinki,00250,rent
1251.0,67.0,3.0,False,False,kerrostalo,malmi,helsinki,00700,rent
1050.0,49.5,2.0,False,False,kerrostalo,malmi,helsinki,00700,rent
898.0,34.5,1.0,False,False,kerrostalo,malmi,helsinki,00700,rent
1063.0,49.0,2.0,False,False,kerrostalo,malmi,helsinki,00700,rent
1250.0,67.0,3.0,False,False,kerrostalo,malmi,helsinki,00700,rent
931.0,65.5,2.0,False,False,kerrostalo,suvela,espoo,02760,rent
740.0,28.5,1.0,False,False,kerrostalo,olari,espoo,02250,rent
900.0,56.5,2.0,False,False,kerrostalo,matinkylä,espoo,02230,rent
690.0,30.0,1.0,False,False,kerrostalo,vuosaari,helsinki,00960,rent
890.0,29.0,1.0,True,False,kerrostalo,ullanlinna,helsinki,00120,rent
690.0,24.8,1.0,False,False,kerrostalo,tapiola,espoo,02110,rent
680.0,18.0,1.0,False,False,kerrostalo,meilahti,helsinki,00270,rent
893.0,77.0,3.0,True,False,luhtitalo,nöykkiö,espoo,02280,rent
950.0,45.0,2.0,True,True,kerrostalo,herttoniemenranta,helsinki,00881,rent
